consumer_id,revenue,ad_exposure,recency,frequency,monetary_value,age,mobile
77,43.736557,1,8,6,4,32,1
78,38.731712,0,10,9,1,41,1
79,38.214542,1,1,3,5,44,0
80,50.132675,1,9,6,6,53,1
81,51.086842,1,5,2,9,54,0
82,45.35516,1,7,3,6,43,1
83,29.922623,0,8,1,2,40,1
84,50.818794,1,3,8,6,39,1
85,40.643578,1,2,5,4,27,1
86,40.140636,1,5,6,3,47,1
87,46.030933,0,10,4,5,56,1
88,32.176426,1,3,2,4,32,0
89,36.631599,1,5,6,1,41,1
90,64.86512,0,10,5,10,36,1
91,35.253841,1,4,3,3,56,1
92,27.428869,1,3,3,1,27,1
93,50.54982,1,7,5,7,33,1
94,40.193443,0,8,9,2,51,1
95,55.786034,1,4,2,10,34,1
96,43.709461,1,5,3,5,40,1
97,41.24831,0,7,1,5,37,1
98,65.776207,1,9,7,10,55,1
99,56.351116,0,8,1,10,35,0
100,28.450134,1,6,2,1,36,0
101,22.567785,0,4,1,1,36,1
102,40.904705,1,6,3,3,38,1
103,41.001808,0,10,5,3,35,1
104,42.872173,1,9,3,3,28,0
105,44.212181,0,10,9,2,44,1
106,51.934189,0,9,8,6,51,1
107,63.134644,0,9,10,9,58,1
108,29.97352,1,1,6,1,41,1
109,46.389473,1,8,7,4,34,1
110,31.768959,1,2,5,2,44,1
111,43.645527,0,2,2,8,34,0
112,24.73226,0,2,2,2,40,0
113,57.048908,1,5,7,8,37,1
114,35.436104,0,6,9,1,39,1
115,34.62466,1,5,2,3,47,1
116,52.594505,1,8,7,7,52,1
117,36.015419,0,2,9,3,31,1
118,49.938099,0,7,10,5,45,1
119,40.330391,0,6,10,2,49,1
120,59.511253,0,5,10,8,52,1
121,26.991133,1,1,3,2,25,0
122,45.652683,1,1,4,7,41,1
123,33.172249,1,3,5,2,33,1
124,31.848196,0,1,1,5,26,1
125,42.868332,1,3,5,5,42,1
126,41.401539,1,3,3,6,57,1
127,46.107891,0,10,7,3,40,1
128,42.133907,0,10,3,4,38,1
129,35.252213,1,7,6,1,47,1
130,53.533928,0,8,8,8,38,1
131,47.55835,0,10,10,3,56,1
132,52.959152,1,5,6,8,41,1
133,48.870937,0,1,9,8,27,1
134,55.192577,0,10,5,8,31,1
135,48.433376,0,4,1,9,43,0
136,53.705177,1,2,4,10,46,1
137,48.969025,1,8,6,6,46,1
138,55.03577,0,2,8,9,47,1
139,44.303917,0,2,2,9,22,1
140,52.739285,0,1,9,10,42,1
141,37.051373,1,7,6,1,51,1
142,45.581112,1,1,4,7,33,1
143,46.691101,1,8,5,5,36,1
144,48.498344,1,1,4,9,23,0
145,30.648338,0,4,1,4,35,0
146,45.057198,1,7,8,3,38,1
147,27.457954,1,4,4,1,22,1
148,51.797943,0,8,2,8,27,0
149,36.33136,1,5,6,1,43,1
150,29.81679,1,2,5,2,44,1
151,41.954391,0,9,1,6,31,0
152,37.397606,0,7,1,4,52,0
153,59.376015,1,5,5,9,23,1
154,46.759151,0,10,6,4,45,1
155,50.132534,1,3,6,9,27,1
156,59.371735,0,10,5,10,53,1
157,38.790676,0,9,2,4,35,1
158,56.585934,1,7,5,8,37,1
159,25.871664,1,2,3,1,28,1
160,57.174141,0,10,9,6,48,1
161,53.613991,0,10,8,5,26,1
162,39.917553,1,4,7,2,54,1
163,50.206161,1,2,3,9,29,0
164,65.190125,1,9,5,9,35,1
165,58.659538,1,2,7,10,32,1
166,69.762817,0,9,10,10,45,1
167,28.051788,0,10,1,1,48,1
168,50.635273,0,10,1,7,24,0
169,51.83633,1,4,5,8,46,1
170,36.134548,0,10,3,2,35,0
171,42.027737,1,6,4,5,45,1
172,51.614086,0,3,9,8,60,1
173,55.798401,1,7,8,7,37,1
174,27.716698,1,2,3,1,39,1
175,38.468735,1,2,5,4,47,1
176,35.181198,1,5,8,1,49,1
177,46.117847,1,4,6,4,50,1
178,33.189381,0,8,1,2,47,0
179,41.599285,0,2,1,8,45,1
180,30.459389,0,10,3,1,43,0
181,66.370995,1,9,6,10,38,1
182,52.449989,0,10,9,6,36,1
183,32.449505,1,3,4,2,22,1
184,26.821842,0,1,9,1,56,1
185,37.083656,1,5,5,2,35,1
186,60.053291,1,8,3,9,42,1
187,37.494186,1,4,7,2,47,1
188,31.460381,0,3,9,1,33,1
189,42.720776,1,3,4,5,39,1
190,59.354362,1,3,4,10,24,1
191,48.426266,0,9,9,5,42,1
192,41.776485,1,6,5,3,38,1
193,50.396866,0,8,10,5,63,1
194,41.309425,0,2,10,5,53,1
195,42.195835,0,4,9,5,62,1
196,41.14666,1,8,4,4,50,0
197,42.764229,1,2,5,5,50,1
198,40.084106,1,3,7,4,23,1
199,49.149361,0,1,2,10,35,1
200,35.692566,0,10,5,1,50,1
201,58.526936,1,1,6,10,37,1
202,40.179256,1,3,5,3,23,1
203,58.731426,1,6,3,10,39,0
204,53.842747,1,3,6,9,29,1
205,52.741154,1,4,5,8,60,1
206,59.157745,1,6,7,8,51,1
207,39.720581,1,1,7,3,27,1
208,57.31031,1,5,7,8,44,1
209,60.279961,1,6,5,10,49,1
210,34.797348,1,3,5,3,42,1
211,41.97234,0,8,2,5,35,0
212,34.329563,0,2,8,3,44,1
213,32.59631,1,6,2,2,44,1
214,33.220291,0,2,2,4,33,0
215,45.250607,1,5,2,5,42,1
216,45.947063,1,7,4,5,57,0
217,50.572823,1,5,6,7,43,1
218,29.677559,0,1,2,4,48,1
219,54.58564,1,5,8,7,58,1
220,39.80291,0,2,9,4,28,1
221,59.606136,1,3,6,10,32,1
222,30.656706,1,7,4,1,47,1
223,43.558784,0,1,10,5,21,1
224,49.825066,0,9,9,6,39,1
225,46.633301,1,7,2,6,42,0
226,51.498981,0,9,10,4,56,1
227,38.482491,0,7,10,1,41,1
228,48.018906,0,2,2,10,39,0
229,51.857292,1,4,2,9,37,0
230,42.759262,0,8,10,2,50,1
231,28.6996,0,8,2,2,53,0
232,26.719955,1,6,2,1,54,1
233,25.154089,1,2,6,1,37,1
234,49.174812,0,1,1,10,34,1
235,50.020264,1,7,3,8,51,1
236,32.797131,1,6,2,2,35,1
237,63.514774,1,9,6,10,28,1
238,41.938004,0,3,1,8,33,0
239,50.781456,1,6,4,8,39,1
240,29.002855,0,2,2,2,42,0
241,48.828068,1,8,4,7,23,1
242,61.269226,0,9,9,9,63,1
243,59.049091,0,10,5,9,34,1
244,41.207714,0,10,7,2,41,1
245,41.675449,0,8,2,5,45,1
246,49.519669,1,7,7,6,47,1
247,50.066235,0,10,6,5,55,1
248,45.656471,1,5,5,6,25,1
249,39.164684,1,7,2,3,50,0
250,38.096699,0,1,9,4,36,1
251,62.241432,0,1,10,10,60,1
252,40.635712,0,4,10,2,35,1
253,48.071522,1,3,3,7,52,0
254,53.349503,1,5,2,9,46,1
255,51.427605,1,3,7,7,44,1
256,45.2015,1,4,8,4,40,1
257,44.868191,0,2,2,8,49,1
258,53.903461,1,6,2,8,34,0
259,37.412689,0,10,2,3,40,1
260,32.229195,0,9,2,1,24,0
261,29.772152,1,5,2,2,23,0
262,49.010967,1,7,3,7,43,1
263,48.086388,0,1,10,6,47,1
264,53.587559,1,6,4,8,29,1
265,55.464664,1,1,3,10,27,1
266,57.880917,1,5,8,9,58,1
267,47.915344,0,4,9,7,58,1
268,36.251026,1,8,6,1,45,1
269,44.498882,0,9,10,2,57,1
270,49.386528,0,1,2,10,30,0
271,38.880123,1,5,4,4,54,1
272,51.956699,1,4,3,8,42,1
273,51.085648,0,8,10,5,44,1
274,37.5592,1,8,5,2,58,1
275,45.815868,0,1,9,5,40,1
276,45.365299,1,7,4,6,41,1
277,52.455513,0,8,8,6,43,1
278,25.802483,1,4,2,1,26,1
279,53.911629,1,7,8,6,33,1
280,35.195316,0,10,5,1,47,1
281,44.975857,1,5,8,4,42,1
282,35.467575,1,4,5,2,68,1
283,57.091236,1,6,3,10,29,1
284,39.439091,1,4,7,3,24,1
285,59.672432,0,9,8,9,47,1
286,33.449436,1,1,7,2,35,1
287,53.452572,1,6,3,9,35,1
288,49.203903,1,3,2,9,36,0
289,55.164875,0,1,10,10,36,1
290,27.251966,0,2,1,4,54,0
291,63.289379,1,9,6,9,38,1
292,61.083279,1,7,8,8,24,1
293,31.984697,1,3,3,2,48,0
294,63.017292,0,8,9,9,58,1
295,45.071266,1,4,8,4,25,1
296,42.187828,1,3,5,4,38,1
297,47.830719,1,1,3,9,26,0
298,43.96431,1,1,7,6,51,1
299,53.503384,0,6,1,10,40,0
300,35.167095,1,3,8,1,41,1
301,26.067972,1,1,3,1,39,0
302,60.958439,0,8,9,8,62,1
303,50.870644,0,10,9,4,61,1
304,61.979622,0,10,7,9,42,1
305,45.32251,1,3,2,7,24,1
306,59.845928,0,4,10,9,41,1
307,49.805542,0,10,10,4,42,1
308,53.175541,0,4,9,7,51,1
309,65.81823,1,7,8,9,50,1
310,62.120747,0,10,8,10,43,1
311,44.959579,0,4,9,4,38,1
312,48.864674,1,8,3,6,45,0
313,57.454056,1,9,3,9,30,0
314,43.999073,0,3,9,5,60,1
315,36.206161,1,6,5,2,40,1
316,50.217842,1,4,4,7,27,1
317,35.760757,1,4,5,3,53,1
318,59.790047,1,9,7,8,43,1
319,42.083851,0,8,8,2,31,1
320,47.108959,0,5,9,5,25,1
321,53.386765,1,7,8,6,34,1
322,53.680794,0,8,2,8,42,0
323,50.185692,1,5,4,6,36,1
324,59.18528,1,4,3,10,52,0
325,48.749245,0,7,1,8,39,0
326,56.944206,1,4,8,8,33,1
327,59.929428,0,8,9,9,40,1
328,58.955048,1,5,6,10,44,1
329,45.965847,0,9,2,5,41,0
330,54.736809,1,4,8,8,34,1
331,55.135815,0,4,10,8,47,1
332,66.314217,0,7,10,10,23,1
333,34.383457,0,1,1,6,31,0
334,33.236374,1,1,6,2,44,1
335,31.082285,0,2,8,1,47,1
336,33.629517,0,6,9,1,49,1
337,47.247574,1,1,4,8,27,1
338,26.545586,0,7,1,1,24,0
339,59.693523,0,1,10,9,41,1
340,49.738411,1,3,8,6,44,1
341,49.619411,1,6,5,7,28,1
342,41.395142,0,9,8,2,34,1
343,43.920113,1,3,8,4,45,1
344,50.973358,0,10,5,6,57,1
345,46.377766,0,8,8,5,50,1
346,42.374531,1,3,4,6,36,1
347,47.672985,0,5,9,7,29,1
348,41.705452,1,4,2,5,40,1
349,44.591377,1,2,4,8,30,0
350,55.996132,1,4,8,7,23,1
351,53.240837,1,6,5,8,41,1
352,51.468349,1,2,3,8,34,0
353,42.375053,1,5,7,4,31,1
354,59.355206,0,7,9,8,56,1
355,42.551235,1,7,5,2,53,1
356,48.299648,0,10,4,5,49,1
357,60.282063,0,10,8,8,50,1
358,60.853668,0,3,10,10,51,1
359,38.333572,0,8,8,1,62,1
360,42.621922,1,6,5,4,43,1
361,52.47142,1,8,5,6,21,1
362,45.329121,1,3,5,6,26,1
363,59.690495,1,5,6,10,45,1
364,60.851341,0,10,6,9,59,1
365,39.326794,1,2,5,5,50,1
366,45.579479,0,7,10,3,32,1
367,59.582886,0,3,10,10,35,1
368,41.848854,0,10,3,4,40,0
369,62.005714,0,6,9,10,60,1
370,50.295822,0,4,9,7,39,1
371,54.360733,0,7,9,7,43,1
372,41.951408,1,9,7,3,35,1
373,50.720188,0,9,8,5,47,1
374,31.077908,1,5,2,2,35,0
375,62.002884,1,7,6,10,24,1
376,27.867722,1,1,4,2,37,1
377,40.894302,1,4,7,3,57,1
378,51.579342,1,7,6,6,54,1
379,58.242725,1,7,3,10,55,1
380,35.257149,1,2,6,2,24,1
381,59.362377,1,5,5,10,66,1
382,33.50145,0,2,10,2,42,1
383,48.005524,0,1,10,8,29,1
384,36.779026,1,4,5,3,36,1
385,49.457539,0,10,2,6,51,0
386,43.27034,0,10,6,3,44,1
387,42.041866,0,6,10,3,45,1
388,41.428886,1,7,2,5,37,0
389,67.868561,1,8,7,10,41,1
390,23.669224,0,4,1,1,38,0
391,24.238075,0,4,1,2,22,0
392,45.098255,0,8,1,7,61,0
393,57.454548,0,7,10,8,27,1
394,49.261086,1,4,2,8,34,0
395,47.580387,1,1,7,7,42,1
396,39.800964,1,8,6,3,51,1
397,51.940437,0,10,8,4,57,1
398,63.853138,1,6,6,10,40,1
399,55.273796,0,6,1,10,48,0
400,56.910011,0,8,8,8,45,1
401,34.295906,0,1,2,5,46,0
402,48.512966,0,3,1,10,58,1
403,40.791771,0,3,10,3,40,1
404,53.691872,1,3,6,8,42,1
405,41.367146,0,10,1,5,39,1
406,34.021252,0,1,9,3,45,1
407,41.135735,0,5,9,3,54,1
408,39.98053,1,2,3,4,35,1
409,61.555656,0,9,9,8,41,1
410,47.112724,1,1,4,7,24,1
411,59.196754,0,4,10,9,40,1
412,49.1987,0,8,2,9,50,0
413,58.005657,0,6,9,8,42,1
414,39.360371,1,7,7,1,41,1
415,40.553936,0,6,10,2,49,1
416,61.393208,0,4,9,10,46,1
417,55.201733,1,7,7,7,43,1
418,39.86338,1,8,3,3,57,1
419,30.90617,0,2,9,1,48,1
420,37.704762,1,3,5,3,30,1
421,56.108578,1,9,6,6,49,1
422,53.539543,1,5,4,9,39,0
423,42.727612,0,9,2,6,46,1
424,52.436058,1,7,4,7,40,1
425,56.614052,0,3,10,9,44,1
426,54.775406,1,9,7,6,48,1
427,60.843914,1,9,7,7,48,1
428,65.66774,0,9,10,10,48,1
429,55.774677,0,10,3,9,35,1
430,51.073235,0,7,10,5,35,1
431,50.907948,0,9,9,6,59,1
432,39.330196,1,3,7,3,61,1
433,37.165936,1,7,5,2,33,1
434,51.000191,1,7,3,7,39,1
435,41.908077,0,5,1,6,38,0
436,61.829987,1,8,7,9,45,1
437,40.652893,1,8,4,3,23,0
438,38.702164,1,8,7,1,49,1
439,47.632961,1,7,7,4,51,1
440,51.915958,1,6,5,8,45,1
441,40.54649,1,3,8,3,35,1
442,51.494171,1,5,6,8,39,1
443,45.658161,1,2,4,7,51,0
444,28.336622,0,6,1,3,27,1
445,52.610188,1,2,5,8,41,1
446,49.045269,1,6,4,7,43,1
447,51.683262,0,6,1,9,34,0
448,43.510674,0,3,10,3,59,1
449,36.408333,1,1,5,4,31,1
450,39.211933,0,6,1,6,47,0
451,38.58654,1,5,8,2,27,1
452,44.258663,0,2,8,5,33,1
453,36.047474,0,6,1,5,42,0
454,55.217365,1,2,5,10,46,1
455,54.058414,1,5,6,8,38,1
456,25.890415,1,1,3,1,32,0
457,31.208229,1,1,7,1,24,1
458,29.952534,0,7,1,2,30,0
459,50.468437,1,3,8,6,50,1
460,41.72303,1,1,6,6,36,1
461,46.33725,1,1,3,7,26,0
462,54.953651,0,7,10,7,41,1
463,65.530579,1,9,7,9,25,1
464,53.367867,1,1,6,9,42,1
465,43.748104,1,2,7,4,56,1
466,48.272392,1,9,4,5,51,1
467,58.616013,1,9,6,8,72,1
468,41.326698,1,5,4,4,47,1
469,43.989685,0,5,9,4,25,1
470,29.02957,0,8,1,2,36,0
471,69.323166,0,9,10,10,60,1
472,51.446873,1,7,6,6,27,1
473,54.783001,1,9,6,7,50,1
474,48.916512,0,4,9,5,43,1
475,41.342007,1,1,7,6,50,1
476,38.137726,0,8,9,2,28,1
477,51.775803,0,1,10,7,22,1
478,31.306059,0,6,1,3,54,0
479,46.561581,1,6,5,5,35,1
480,38.860943,0,2,9,4,39,1
481,38.932289,0,10,3,4,48,0
482,46.073742,1,1,5,7,35,1
483,45.952938,0,3,9,5,28,1
484,29.769627,1,3,6,1,52,1
485,42.089005,0,3,1,7,30,0
486,55.023315,1,7,2,9,30,0
487,56.627174,1,9,4,8,43,0
488,36.107929,1,2,5,2,37,1
489,60.504829,0,10,7,8,31,1
490,60.747181,1,7,6,9,34,1
491,44.161873,0,3,9,5,47,1
492,41.181541,1,3,2,6,48,1
493,55.495926,1,8,5,6,39,1
494,40.186592,1,5,2,4,57,0
495,25.0555,0,1,1,3,44,1
496,33.306614,0,2,2,4,46,1
497,44.7075,1,7,5,3,54,1
498,38.41378,1,4,3,5,48,1
499,39.168633,1,1,6,5,44,1
500,64.68956,0,10,10,8,34,1
501,53.234127,1,6,4,8,28,0
502,62.39761,1,7,7,8,57,1
503,33.601135,1,6,7,1,38,1
504,51.465172,0,1,10,8,34,1
505,41.770397,1,5,6,4,44,1
506,40.253033,0,4,10,1,61,1
507,54.667984,1,7,8,7,32,1
508,64.719978,0,9,8,10,36,1
509,24.501556,0,1,2,3,32,0
510,45.469635,1,5,8,4,34,1
511,52.175175,0,5,1,10,23,0
512,61.68557,1,9,6,9,38,1
513,56.173523,0,10,6,7,56,1
514,66.088486,1,7,7,10,38,1
515,50.62442,1,6,3,7,37,1
516,47.520351,1,2,6,6,58,1
517,57.163113,1,6,3,9,58,0
518,33.723518,0,10,1,3,35,0
519,39.302784,1,2,6,4,30,1
520,49.419033,1,5,7,6,26,1
521,59.741802,0,2,9,10,46,1
522,23.124994,1,1,3,1,34,0
523,58.661072,1,3,8,10,52,1
524,40.456837,1,6,4,3,24,1
525,43.581299,0,10,4,4,25,1
526,30.687613,0,8,2,2,26,0
527,52.087616,1,4,7,7,38,1
528,53.718273,1,5,3,8,28,1
529,32.647682,1,3,6,2,38,1
530,41.160351,1,7,4,4,31,1
531,54.491554,1,1,7,9,36,1
532,28.591446,0,10,1,1,35,0
533,37.829247,1,6,2,4,53,0
534,30.712044,1,7,2,1,54,0
535,58.14687,1,2,5,9,49,1
536,52.250931,1,4,7,7,30,1
537,48.18811,1,5,4,7,53,1
538,58.470528,0,2,9,10,37,1
539,48.873909,0,5,9,4,40,1
540,50.055382,1,7,3,7,23,0
541,53.488346,1,6,8,6,60,1
542,52.192757,1,9,7,4,31,1
543,48.740322,0,6,1,10,55,0
544,45.51815,0,4,9,5,35,1
545,47.036362,0,9,8,4,36,1
546,38.271873,1,7,5,2,35,1
547,53.044827,0,10,3,9,47,0
548,51.23119,0,10,5,7,60,1
549,42.285332,1,4,8,4,32,1
550,41.579544,0,1,1,8,38,0
551,41.152199,0,2,10,4,47,1
552,39.211056,1,4,4,3,24,0
553,47.283943,1,3,2,7,40,1
554,35.763878,1,4,6,2,45,1
555,61.242939,1,3,8,10,51,1
556,45.615086,1,8,5,5,62,1
557,37.568562,1,5,5,3,34,1
558,63.140793,0,8,9,9,53,1
559,30.248959,0,8,2,1,35,0
560,55.599735,0,10,6,6,41,1
561,63.523148,0,10,5,10,41,1
562,47.894855,0,1,8,9,34,1
563,44.543049,1,2,6,5,50,1
564,27.405529,1,1,5,1,52,1
565,35.579891,0,1,8,3,32,1
566,47.609352,1,9,7,4,48,1
567,32.671795,1,6,2,2,32,0
568,63.986084,1,7,4,10,47,1
569,52.058701,1,1,6,8,32,1
570,42.98045,1,5,5,6,46,1
571,38.038445,0,10,4,3,49,0
572,45.637489,1,8,5,4,34,1
573,31.496277,1,2,5,1,59,1
574,45.810734,1,1,5,7,23,1
575,45.908611,1,6,6,5,56,1
576,45.804684,1,6,7,5,25,1
577,39.908306,0,2,9,4,32,1
578,36.665871,0,10,5,2,56,1
579,54.354446,1,5,6,8,55,1
580,37.218422,0,10,1,3,36,0
581,27.658932,0,1,10,1,39,1
582,56.620491,1,4,5,10,41,1
583,61.484509,1,7,8,9,23,1
584,40.654568,0,9,9,2,43,1
585,52.027355,1,3,4,9,47,1
586,36.594879,1,5,7,3,49,1
587,50.601997,0,7,9,6,58,1
588,55.010429,0,7,1,10,32,0
589,48.389473,1,3,3,9,48,1
590,35.434296,1,5,3,3,23,0
591,53.875706,1,3,4,9,28,1
592,49.830662,1,3,3,8,41,1
593,54.023678,1,2,3,10,33,0
594,41.054951,0,2,10,4,35,1
595,38.816952,1,1,3,6,47,0
596,45.014999,1,5,7,4,30,1
597,44.346943,1,5,3,5,45,1
598,57.559628,0,9,10,7,43,1
599,53.284008,0,4,10,7,53,1
600,47.816151,1,2,4,7,23,1
601,65.56691,0,9,9,9,41,1
602,38.208138,1,5,6,2,33,1
603,53.273132,0,5,10,8,42,1
604,34.37207,0,8,1,3,60,0
605,54.777016,0,8,9,7,60,1
606,57.316799,1,8,5,9,47,1
607,37.494507,1,7,8,1,43,1
608,44.077354,0,1,10,4,52,1
609,31.853596,1,6,5,1,39,1
610,56.72126,0,9,1,10,43,1
611,34.695732,0,5,1,5,44,1
612,42.358299,1,5,6,4,58,1
613,47.7728,0,6,9,5,41,1
614,42.558266,0,10,7,2,48,1
615,62.372349,0,5,10,10,53,1
616,49.942028,1,5,4,7,50,1
617,41.553677,0,1,9,6,32,1
618,59.378082,1,5,2,10,30,1
619,57.405884,1,8,4,9,71,1
620,62.742119,0,10,9,9,45,1
621,36.60033,0,6,1,4,32,0
622,38.432114,1,9,7,1,28,1
623,55.730629,0,2,8,10,43,1
624,40.727249,1,2,4,5,46,1
625,35.089508,0,7,1,4,49,0
626,25.326818,1,3,4,1,49,1
627,34.221321,1,2,7,2,51,1
628,37.431786,1,6,2,4,43,1
629,44.828217,1,2,7,6,33,1
630,51.765751,1,3,3,9,48,0
631,59.565434,1,3,5,10,38,1
632,63.747597,0,10,6,10,48,1
633,40.796997,1,8,3,4,42,0
634,63.707355,0,4,10,10,46,1
635,48.647881,0,8,9,5,49,1
636,37.413876,1,7,2,4,32,1
637,55.668507,0,10,2,9,40,0
638,36.66291,1,6,2,3,34,0
639,55.269157,0,6,9,8,30,1
640,41.582211,0,2,10,4,39,1
641,51.673157,0,9,2,8,27,0
642,55.298706,0,10,7,6,41,1
643,52.216103,1,5,2,10,36,1
644,41.587166,0,8,9,2,46,1
645,40.042419,0,7,9,2,50,1
646,51.083851,1,8,5,7,28,1
647,41.683296,0,10,5,3,44,1
648,45.603462,1,8,3,5,39,1
649,37.011509,1,7,3,4,40,1
650,39.978081,0,5,10,3,48,1
651,50.275158,0,4,1,10,43,0
652,34.113518,1,3,5,2,40,1
653,60.384953,1,7,6,9,31,1
654,52.510212,1,3,3,9,42,1
655,34.130985,0,1,9,2,48,1
656,55.425289,1,7,7,7,54,1
657,41.135288,1,9,6,2,46,1
658,58.557816,1,2,6,10,34,1
659,47.41547,1,9,3,6,32,1
660,54.996487,1,7,7,8,44,1
661,57.395481,1,9,7,7,58,1
662,47.466358,1,2,5,6,33,1
663,54.543724,1,5,8,7,35,1
664,44.452312,1,4,7,5,43,1
665,45.795094,1,2,3,7,43,1
666,57.314945,0,6,9,8,39,1
667,47.823936,0,8,10,3,60,1
668,36.584938,0,5,1,6,25,0
669,35.895084,1,6,4,2,52,1
670,34.260052,1,2,5,3,43,1
671,40.602966,0,5,1,7,63,1
672,62.197254,1,9,4,8,54,1
673,43.307579,0,1,2,9,37,1
674,24.015377,0,2,1,2,42,0
675,37.245411,1,7,5,3,52,1
676,29.699572,0,2,10,1,24,1
677,55.820934,1,8,6,6,49,1
678,48.114197,0,2,10,6,52,1
679,56.383472,1,3,2,10,35,1
680,34.251095,1,2,3,4,33,0
681,43.821152,1,1,4,5,45,1
682,29.913389,0,3,9,1,37,1
683,44.542542,0,8,2,7,34,0
684,41.696136,1,5,4,5,43,1
685,57.731243,1,2,5,10,44,1
686,43.956005,0,7,9,4,41,1
687,53.76387,1,6,3,8,36,0
688,34.93446,0,9,2,3,45,0
689,51.174274,0,10,6,6,48,1
690,52.424355,1,5,6,8,43,1
691,56.503086,0,1,10,10,34,1
692,57.315674,1,7,4,10,31,1
693,21.907442,0,4,1,1,34,0
694,48.544376,0,9,1,7,55,0
695,56.770405,1,7,4,10,23,1
696,53.578522,1,7,8,6,41,1
697,45.352936,1,5,6,4,49,1
698,54.429539,0,8,8,6,40,1
699,49.3092,1,7,8,5,38,1
700,49.81678,0,1,9,8,41,1
701,35.254894,1,5,8,2,27,1
702,55.816475,0,10,9,6,31,1
703,28.394436,0,7,1,1,42,0
704,40.326218,0,10,7,3,40,1
705,52.443893,1,7,3,8,44,1
706,39.433086,1,4,7,3,29,1
707,52.619984,0,1,9,8,35,1
708,66.702232,0,10,9,9,34,1
709,52.31287,0,6,9,6,43,1
710,32.639431,1,2,7,2,28,1
711,38.398373,1,6,4,2,31,1
712,54.201515,1,6,5,8,49,1
713,28.983675,1,1,7,1,35,1
714,63.140022,1,4,6,10,50,1
715,30.9424,0,8,2,2,41,1
716,29.696115,0,7,1,2,42,1
717,56.14986,1,7,3,9,38,0
718,57.680408,1,9,7,5,42,1
719,36.208733,1,5,3,3,22,1
720,43.779121,1,3,7,5,49,1
721,52.712734,1,6,2,8,50,0
722,48.654949,0,10,9,4,32,1
723,45.495335,0,3,10,5,21,1
724,42.305798,1,4,8,2,49,1
725,46.686283,0,7,9,4,45,1
726,44.216667,1,9,3,4,38,0
727,50.561047,0,4,1,10,50,0
728,50.199287,1,8,4,6,36,1
729,36.393494,0,10,2,3,31,0
730,50.538708,1,9,6,4,23,1
731,40.073421,0,10,1,4,21,0
732,47.982742,1,5,8,5,35,1
733,33.043621,0,7,1,3,49,0
