rides_request,price,rides_accepted
4040,3.5,2250
2993,2.5,2163
2989,2.5,2128
4823,3.5,2748
1469,2,1204
4831,3.5,3037
4333,3.5,2558
4498,3.5,2740
2424,2.5,1673
4946,3.5,2814
3389,3,2148
3912,3,2498
4521,3.5,2664
4516,3.5,2654
4811,3.5,2964
3778,3,2446
3632,3,2360
2857,2.5,2052
1806,2,1472
1974,2,1604
3589,3,2045
2675,2.5,1874
3324,3,1992
3692,3,2391
3775,3,2460
3906,3,2570
4881,3.5,3068
4836,3.5,3003
4121,3.5,2379
1956,2,1596
3245,3,1991
2493,2.5,1729
1942,2,1502
1425,2,1047
3120,3,1819
2481,2.5,1708
4642,3.5,2742
2900,2.5,2085
4212,3.5,2298
2011,2.5,1294
1667,2,1396
2911,2.5,2036
3869,3,2519
2198,2.5,1411
4665,3.5,2762
3873,3,2527
2991,2.5,2141
2142,2.5,1277
4290,3.5,2530
4131,3.5,2294
2094,2.5,1292
3442,3,2139
3122,3,1862
3468,3,2171
2260,2.5,1523
2908,2.5,2089
1974,2,1645
2871,2.5,2027
3010,3,1790
4436,3.5,2685
3707,3,2366
2483,2.5,1703
2746,2.5,1910
1837,2,1406
2563,2.5,1596
2804,2.5,1965
2357,2.5,1586
1480,2,1159
3356,3,2104
3677,3,2372
3973,3,2621
4992,3.5,3136
3230,3,1900
1911,2,1525
1668,2,1210
3377,3,2094
2710,2.5,1899
1669,2,1351
4064,3.5,2320
4947,3.5,3089
2220,2.5,1449
4987,3.5,3141
3775,3,2473
3707,3,2406
2551,2.5,1720
3800,3,2458
2685,2.5,1833
4449,3.5,2692
1448,2,1155
4971,3.5,3115
4373,3.5,2606
1549,2,829
1413,2,1145
2885,2.5,2061
4866,3.5,2924
4047,3.5,2244
3238,3,1971
4250,3.5,2485
2852,2.5,2040
4542,3.5,2705
2975,2.5,2135
4919,3.5,3097
3648,3,2233
3777,3,2489
1752,2,1472
4274,3.5,2507
4920,3.5,2983
4864,3.5,3049
2360,2.5,1594
2759,2.5,1951
1688,2,1392
3121,3,1528
1974,2,1632
2281,2.5,1503
1510,2,955
2803,2.5,1958
3669,3,2356
4772,3.5,2954
3764,3,2411
4762,3.5,2948
3477,3,2142
1500,2,1179
4335,3.5,2406
2012,2.5,1280
2055,2.5,1331
2501,2.5,1722
1507,2,1124
1934,2,1638
2004,2.5,1288
3113,3,1855
2862,2.5,1971
4596,3.5,2774
4196,3.5,2436
3133,3,1895
1761,2,1433
1496,2,1218
3808,3,1909
4995,3.5,3187
3492,3,1972
4498,3.5,2627
1858,2,1559
4399,3.5,2569
3444,3,2047
2409,2.5,1624
2901,2.5,1597
3913,3,2613
2154,2.5,1411
2024,2.5,1317
3996,3,1838
2963,2.5,2163
2080,2.5,1323
2810,2.5,1942
2955,2.5,2132
2497,2.5,1654
2460,2.5,1603
3027,3,1780
2425,2.5,1507
4479,3.5,2710
2434,2.5,1609
2297,2.5,1541
2372,2.5,1602
2338,2.5,1418
1778,2,1417
2816,2.5,2013
3857,3,2558
2786,2.5,1795
3160,3,1881
1790,2,1457
4821,3.5,2982
3431,3,2123
2828,2.5,1963
4210,3.5,2468
3181,3,1940
4030,3.5,2200
2672,2.5,1786
2263,2.5,1489
4431,3.5,2479
2835,2.5,1983
1697,2,1338
2981,2.5,2158
4498,3.5,2592
1583,2,1288
3518,3,2241
4655,3.5,2820
1985,2,1659
2317,2.5,1484
1579,2,1298
2668,2.5,1386
4047,3.5,2266
3505,3,2230
4350,3.5,2548
4777,3.5,2901
4601,3.5,2804
2660,2.5,1851
1509,2,1149
3317,3,2064
2716,2.5,1867
3184,3,1868
1529,2,1207
4401,3.5,2430
4277,3.5,2522
4803,3.5,2910
2387,2.5,1569
4944,3.5,3111
4783,3.5,2938
3704,3,2375
4344,3.5,2597
2696,2.5,1021
4145,3.5,2198
1577,2,1291
2571,2.5,1770
3584,3,2235
4189,3.5,2453
2971,2.5,2152
2304,2.5,1546
1657,2,1358
4673,3.5,2864
3862,3,2511
2164,2.5,1359
3474,3,2201
4030,3.5,2294
3794,3,2376
3410,3,2151
4098,3.5,2301
4470,3.5,2650
2257,2.5,1471
1943,2,1560
4283,3.5,2496
2837,2.5,1998
4918,3.5,3032
4337,3.5,2347
3764,3,2466
3937,3,2618
1744,2,1454
3409,3,2156
4816,3.5,3022
4514,3.5,2491
2948,2.5,2026
3414,3,2142
1649,2,1350
2183,2.5,1383
4712,3.5,2914
2791,2.5,1813
1495,2,1129
3642,3,2371
4573,3.5,2815
3562,3,2149
3110,3,1836
3455,3,2193
4345,3.5,2495
3820,3,2437
2411,2.5,1614
1538,2,1187
2233,2.5,1451
3235,3,1932
3650,3,2325
1868,2,1505
2048,2.5,1286
2891,2.5,2070
1613,2,1245
2451,2.5,1644
1670,2,1194
1571,2,1305
2289,2.5,1530
4605,3.5,2822
1507,2,1239
4533,3.5,2643
4171,3.5,2390
4174,3.5,2412
3823,3,2499
4381,3.5,2490
1658,2,1188
1978,2,1601
2567,2.5,1688
3878,3,2428
3130,3,1882
3288,3,1971
4993,3.5,3187
3388,3,2073
4010,3.5,2238
3181,3,1941
4902,3.5,3075
2425,2.5,1560
4337,3.5,2384
3282,3,2019
1778,2,1492
4507,3.5,2749
4594,3.5,2691
2448,2.5,1644
3148,3,1910
3847,3,2493
2034,2.5,1269
4909,3.5,3085
1992,2,1656
3012,3,1667
3806,3,2424
4796,3.5,3006
3861,3,2566
3263,3,1953
4238,3.5,2491
1928,2,1614
3928,3,2622
4910,3.5,3055
1828,2,1453
3326,3,2064
2479,2.5,1687
2082,2.5,1313
1962,2,1632
3620,3,2352
1719,2,1395
2207,2.5,1154
1876,2,1531
3358,3,1901
3018,3,1774
1954,2,1637
1714,2,1332
1459,2,1189
4889,3.5,2958
4121,3.5,2299
3332,3,1867
1792,2,1485
3943,3,2621
4750,3.5,2874
1628,2,1332
4031,3.5,2134
4100,3.5,2364
2944,2.5,2087
4072,3.5,2347
2887,2.5,2081
2332,2.5,1228
1995,2,1675
4809,3.5,2967
2530,2.5,1633
1980,2,1584
2063,2.5,1344
4852,3.5,3062
4380,3.5,2616
3111,3,1781
1607,2,1304
4809,3.5,2963
4219,3.5,2318
3775,3,2488
4672,3.5,2875
2511,2.5,1731
2729,2.5,1947
4571,3.5,2511
4202,3.5,2468
3867,3,2569
3606,3,2250
2374,2.5,1595
2720,2.5,1890
3885,3,2549
2505,2.5,1745
1474,2,1218
2246,2.5,1488
1863,2,1417
2800,2.5,2017
2324,2.5,1391
4312,3.5,2292
2551,2.5,1648
2597,2.5,1731
3173,3,1655
4432,3.5,2626
3074,3,1748
4863,3.5,2838
2012,2.5,1282
3472,3,2163
3065,3,1825
1695,2,1191
3507,3,2171
4624,3.5,2640
2030,2.5,1245
3717,3,2414
1471,2,1106
3086,3,1823
2715,2.5,1934
3692,3,2353
3454,3,2104
2592,2.5,1719
3845,3,2517
3661,3,1979
2614,2.5,1835
3331,3,2035
4104,3.5,2355
4194,3.5,2419
4278,3.5,2520
3510,3,2181
2115,2.5,1357
2413,2.5,1655
2355,2.5,1508
3714,3,2395
2346,2.5,1599
4649,3.5,2785
4080,3.5,2360
4016,3.5,2237
3690,3,2263
1968,2,1619
4796,3.5,2952
4995,3.5,3182
3586,3,2188
2528,2.5,1744
2886,2.5,2064
3826,3,2508
2365,2.5,1603
4704,3.5,2915
2766,2.5,1975
2583,2.5,1554
2038,2.5,1323
2191,2.5,1178
2960,2.5,2140
4405,3.5,2558
4758,3.5,2973
3823,3,2282
3043,3,1781
4836,3.5,3038
4589,3.5,2517
4589,3.5,2774
2641,2.5,1717
1475,2,1086
4730,3.5,2917
4364,3.5,2437
2801,2.5,1891
2860,2.5,2026
3951,3,2642
2119,2.5,1333
2640,2.5,1860
2428,2.5,1493
2769,2.5,1441
4931,3.5,3125
4789,3.5,2963
2406,2.5,1608
4399,3.5,2619
3798,3,2376
3182,3,1900
2307,2.5,1546
4999,3.5,3139
3760,3,2382
1602,2,1259
1546,2,1248
1896,2,1560
2393,2.5,1619
1645,2,1376
3338,3,1983
3178,3,1942
2913,2.5,2114
4066,3.5,2338
1925,2,1607
4413,3.5,2507
2845,2.5,2015
1731,2,1355
3923,3,2531
2396,2.5,1642
3030,3,1608
2432,2.5,1650
4480,3.5,2663
4034,3.5,2300
2103,2.5,1379
4411,3.5,2622
4831,3.5,3017
2132,2.5,1336
2916,2.5,2094
3510,3,2100
3687,3,2361
4885,3.5,3064
2306,2.5,1500
3809,3,2437
4716,3.5,2371
4384,3.5,2473
2354,2.5,1546
3170,3,1931
4487,3.5,2725
2715,2.5,1919
3327,3,1908
4866,3.5,3066
2594,2.5,1738
4821,3.5,2969
3151,3,1887
1616,2,1283
2784,2.5,1979
1663,2,1305
2620,2.5,1835
4500,3.5,2723
3349,3,1937
3426,3,2130
4260,3.5,2497
2266,2.5,1463
2743,2.5,1930
4233,3.5,2473
3445,3,2085
3958,3,2466
4176,3.5,2431
2831,2.5,2022
3783,3,2414
2866,2.5,1976
4928,3.5,3098
1451,2,1200
4873,3.5,3066
2713,2.5,1851
2388,2.5,1600
3501,3,2182
4662,3.5,2874
4050,3.5,2242
3879,3,2570
3949,3,2633
1892,2,1585
4216,3.5,2464
1963,2,1577
3513,3,2235
1682,2,1351
2873,2.5,1978
2145,2.5,1398
2810,2.5,1939
4764,3.5,2940
2566,2.5,1758
1538,2,1177
1958,2,1636
2805,2.5,2007
3426,3,2154
3251,3,1984
3925,3,2592
4788,3.5,2995
1463,2,1188
3257,3,1857
4004,3.5,2297
4784,3.5,2807
2331,2.5,1500
1836,2,1491
4446,3.5,2631
4038,3.5,1909
1580,2,1285
2267,2.5,1308
1619,2,1343
3702,3,2419
4202,3.5,2458
1933,2,1575
4193,3.5,2355
3113,3,1843
4120,3.5,2386
3696,3,2395
2012,2.5,1264
3077,3,1825
2206,2.5,1446
2826,2.5,1985
4130,3.5,2224
3848,3,2464
3865,3,2530
3643,3,2318
2921,2.5,2094
2721,2.5,1610
1743,2,1443
4350,3.5,2485
1541,2,1262
3775,3,2493
2981,2.5,2105
3721,3,2416
3101,3,1770
2327,2.5,1570
2006,2.5,315
4097,3.5,2368
3244,3,1953
4519,3.5,2582
2470,2.5,1685
3462,3,2109
4968,3.5,3157
2358,2.5,1576
4407,3.5,2355
4340,3.5,2456
4941,3.5,3091
3981,3,2550
4289,3.5,2538
4729,3.5,2937
2885,2.5,2022
1503,2,1221
4773,3.5,2383
3046,3,1791
4620,3.5,2820
4739,3.5,2960
4015,3.5,2297
3326,3,1947
2136,2.5,1003
4932,3.5,3074
4395,3.5,2645
4547,3.5,2789
3149,3,1843
4012,3.5,1962
4353,3.5,2569
3675,3,2357
2259,2.5,1428
1639,2,1218
4336,3.5,2529
4308,3.5,2530
3750,3,2369
2657,2.5,1864
1778,2,1481
3034,3,1754
2681,2.5,1675
1925,2,1516
2254,2.5,1519
4534,3.5,2731
2126,2.5,1353
4111,3.5,1812
4121,3.5,2355
1845,2,1439
3037,3,1812
1554,2,1279
4364,3.5,2598
1805,2,1457
4400,3.5,2640
3919,3,2578
2672,2.5,1847
3449,3,2188
3997,3,2656
3215,3,1958
2201,2.5,1445
2247,2.5,1444
2521,2.5,1501
3751,3,2443
3539,3,2075
1500,2,1040
2952,2.5,2063
2702,2.5,1924
2691,2.5,1904
3655,3,2271
3394,3,2129
3765,3,2437
2601,2.5,1626
3304,3,2050
2727,2.5,1941
3134,3,1723
3925,3,2588
4959,3.5,3096
4275,3.5,2498
2656,2.5,1865
4041,3.5,2327
2967,2.5,2058
2665,2.5,1838
3046,3,1832
1567,2,1091
2525,2.5,1758
3391,3,2103
1867,2,1440
1888,2,1315
4954,3.5,3135
4584,3.5,2561
3709,3,2279
1643,2,1348
2411,2.5,1622
4213,3.5,2436
2788,2.5,1990
2380,2.5,1627
1831,2,1507
4535,3.5,2754
4483,3.5,2712
1674,2,1387
2135,2.5,1389
1596,2,1136
3016,3,1723
3383,3,2067
3126,3,1879
3599,3,2327
4390,3.5,2591
1727,2,1405
4458,3.5,2690
4258,3.5,2510
2919,2.5,2052
4784,3.5,3000
2465,2.5,1683
2202,2.5,1457
3085,3,1835
2392,2.5,1643
4149,3.5,2314
2705,2.5,1914
3497,3,2200
1864,2,1462
1709,2,1403
2940,2.5,2005
3628,3,2354
2874,2.5,1998
1569,2,1268
1787,2,1471
2645,2.5,1813
2783,2.5,1961
4303,3.5,2543
4706,3.5,2926
3027,3,1815
1422,2,1147
4084,3.5,2371
3534,3,1971
3050,3,1781
4754,3.5,2961
4775,3.5,2952
3568,3,1994
2507,2.5,1478
3003,3,1725
4744,3.5,2935
3311,3,2028
4115,3.5,2246
4486,3.5,2618
3384,3,2089
2463,2.5,1668
4493,3.5,2721
4991,3.5,3125
3005,3,1797
2934,2.5,2032
4728,3.5,2875
3899,3,2576
4514,3.5,2279
4390,3.5,2567
1550,2,1273
1754,2,1451
4688,3.5,2860
2965,2.5,2100
3442,3,2120
3888,3,2443
4598,3.5,2809
3053,3,1727
3618,3,2238
3891,3,2581
4783,3.5,2925
2638,2.5,1839
4269,3.5,2402
3729,3,2371
2669,2.5,1778
2878,2.5,2042
3212,3,1914
1975,2,1666
4108,3.5,2335
3729,3,2438
3456,3,2147
1907,2,1571
1807,2,1458
4400,3.5,2656
3067,3,1829
3366,3,2106
1872,2,1559
1718,2,1321
4339,3.5,2578
3713,3,2327
3961,3,2570
2794,2.5,1973
3651,3,2351
3574,3,2306
2816,2.5,2002
4742,3.5,2942
2444,2.5,1625
4859,3.5,3047
4732,3.5,2916
4019,3.5,2313
2585,2.5,1795
3532,3,2255
3858,3,2559
3383,3,2059
4867,3.5,3031
3465,3,2170
3002,3,1790
1867,2,1538
4535,3.5,2743
3072,3,1829
4375,3.5,2625
4311,3.5,2483
4664,3.5,2870
1934,2,1601
1718,2,1440
3072,3,1788
2592,2.5,1798
2241,2.5,1488
1876,2,1327
4919,3.5,2700
1583,2,1105
4769,3.5,2983
3126,3,1834
2224,2.5,1438
3870,3,2569
3870,3,2574
2964,2.5,2032
1796,2,1481
3488,3,2151
3391,3,2016
2094,2.5,1309
4142,3.5,2413
2564,2.5,1737
3844,3,2516
2659,2.5,1881
3079,3,1809
1857,2,1442
4827,3.5,2898
2464,2.5,1543
3358,3,2093
2810,2.5,1959
1424,2,1163
2326,2.5,1538
2253,2.5,1465
4717,3.5,2862
4123,3.5,2384
3700,3,2320
2442,2.5,1548
3290,3,2046
2300,2.5,1498
3720,3,2419
4417,3.5,2628
2215,2.5,1455
4354,3.5,2354
2576,2.5,1753
4859,3.5,2917
4452,3.5,2556
3684,3,2372
3162,3,1822
3900,3,2589
1554,2,1179
4978,3.5,3113
4500,3.5,2741
2990,2.5,2128
4277,3.5,2545
4072,3.5,2325
2914,2.5,2092
1944,2,1623
1526,2,1186
4789,3.5,2964
2283,2.5,1501
4692,3.5,2817
4101,3.5,2106
4546,3.5,2781
3161,3,1858
3454,3,2186
4226,3.5,2417
2814,2.5,1921
4844,3.5,2927
4956,3.5,3051
2265,2.5,1522
1928,2,1583
4096,3.5,2278
3913,3,2547
2709,2.5,1827
2927,2.5,2102
2916,2.5,2027
4047,3.5,2307
4921,3.5,3051
2260,2.5,1508
3517,3,2259
2006,2.5,1275
4044,3.5,2287
3222,3,1874
4321,3.5,2489
4375,3.5,2601
2080,2.5,1337
2221,2.5,1390
2410,2.5,1659
4053,3.5,2299
3906,3,2610
2717,2.5,1889
3612,3,2332
3605,3,2183
2942,2.5,2100
3984,3,2669
2208,2.5,1294
4025,3.5,2314
4269,3.5,2470
4903,3.5,3052
2434,2.5,1609
4392,3.5,2584
2177,2.5,1437
3009,3,1775
4701,3.5,2913
3305,3,1838
3785,3,2443
4776,3.5,2824
3204,3,1968
3941,3,2620
2406,2.5,1528
2622,2.5,1754
3771,3,2159
4842,3.5,2921
2315,2.5,1536
3821,3,2519
2751,2.5,1974
2884,2.5,1851
4644,3.5,2843
2394,2.5,1527
4711,3.5,2817
4323,3.5,2424
3145,3,1927
3497,3,2181
1615,2,1312
4272,3.5,2514
3328,3,1963
1856,2,1420
4670,3.5,2886
4991,3.5,3165
2823,2.5,2017
4557,3.5,2748
2057,2.5,1326
4500,3.5,2718
4901,3.5,2839
4321,3.5,2448
3095,3,1858
2458,2.5,1504
3643,3,2307
2367,2.5,1603
3791,3,2471
3694,3,2356
2116,2.5,1372
3760,3,2444
4163,3.5,2379
4091,3.5,2305
2323,2.5,1550
4448,3.5,2664
1802,2,1498
4497,3.5,2592
4407,3.5,2566
4478,3.5,2722
1763,2,1356
2119,2.5,1379
2177,2.5,1314
1901,2,1533
3852,3,2294
2798,2.5,1966
3534,3,2239
2338,2.5,1351
3293,3,1914
4347,3.5,2594
4434,3.5,2662
1706,2,1405
2493,2.5,1702
4317,3.5,2445
1482,2,1230
2475,2.5,1629
3371,3,2111
2513,2.5,1658
1991,2,1644
4294,3.5,2453
1534,2,1258
4482,3.5,2542
3075,3,1828
4687,3.5,2899
1827,2,1188
3747,3,2349
1625,2,1346
1627,2,1289
2331,2.5,1575
3674,3,2389
4733,3.5,2804
4354,3.5,2529
4755,3.5,2963
3259,3,2009
4937,3.5,3131
4029,3.5,2307
2241,2.5,1395
4586,3.5,2811
3922,3,2619
3173,3,1922
1448,2,1171
2747,2.5,1838
1999,2,1693
3777,3,2472
2391,2.5,1579
4104,3.5,2382
1442,2,1146
2830,2.5,2022
3995,3,2639
4516,3.5,2739
4310,3.5,2555
1837,2,1340
4488,3.5,2728
4749,3.5,2933
4753,3.5,2903
2532,2.5,1767
3210,3,1930
4304,3.5,2397
1669,2,1396
4115,3.5,2291
2254,2.5,1461
1899,2,1464
4752,3.5,2709
4345,3.5,2528
3996,3,2621
1867,2,1543
4085,3.5,2338
1825,2,1528
2899,2.5,2103
1818,2,1041
4268,3.5,2505
2925,2.5,2115
4831,3.5,2690
3065,3,1843
3797,3,2497
3565,3,2185
3879,3,2484
4757,3.5,2939
2628,2.5,1848
2631,2.5,1773
3603,3,2333
1762,2,1222
2813,2.5,1864
4975,3.5,3064
2970,2.5,2147
4295,3.5,2398
4891,3.5,3033
2396,2.5,1100
4605,3.5,2835
3149,3,1888
1887,2,1414
4885,3.5,2995
4304,3.5,2404
3577,3,2144
3584,3,2306
3285,3,2010
2736,2.5,1673
1526,2,1256
3984,3,2519
4290,3.5,2514
4733,3.5,2885
3986,3,2678
2780,2.5,1963
2853,2.5,1929
1704,2,1267
1769,2,1364
2304,2.5,1348
3056,3,1712
3316,3,2050
2923,2.5,2092
4282,3.5,2542
4483,3.5,2645
3350,3,2049
1768,2,1363
4432,3.5,2646
4215,3.5,2460
2265,2.5,1516
3225,3,1970
3016,3,1752
2817,2.5,2031
4470,3.5,2703
4663,3.5,2839
3782,3,2475
1859,2,1453
4934,3.5,3120
4395,3.5,2620
4380,3.5,2627
2983,2.5,2131
3910,3,2337
2058,2.5,1191
3150,3,1870
2011,2.5,1294
4992,3.5,2879
2437,2.5,1595
3037,3,1798
2010,2.5,1236
3314,3,2080
2582,2.5,1737
3523,3,2252
1550,2,1260
4220,3.5,2286
4399,3.5,2588
1494,2,1240
3333,3,1924
1772,2,1487
2016,2.5,1267
4713,3.5,2898
3791,3,2310
4034,3.5,2210
4703,3.5,2857
4858,3.5,3028
3593,3,2273
1431,2,1156
3087,3,1871
3254,3,2009
1924,2,1563
2273,2.5,1410
2690,2.5,1819
2433,2.5,1484
1936,2,1505
3642,3,2342
4975,3.5,3144
2255,2.5,1473
3662,3,2262
3089,3,1836
4916,3.5,3095
1720,2,1437
2532,2.5,1748
1756,2,1381
1501,2,1173
1786,2,1478
4970,3.5,3145
3569,3,2301
3237,3,1922
2531,2.5,1774
2040,2.5,1304
2176,2.5,1433
4379,3.5,2607
2942,2.5,2112
2901,2.5,2077
2074,2.5,1312
4395,3.5,2446
1858,2,1516
3595,3,2191
1955,2,1548
3121,3,1811
2524,2.5,1724
3453,3,2203
1697,2,1340
2627,2.5,1846
1880,2,1578
4605,3.5,2789
1728,2,1393
2477,2.5,1318
2503,2.5,1575
3096,3,1536
3712,3,2426
2819,2.5,1993
4071,3.5,2338
3844,3,2433
2387,2.5,1639
2763,2.5,1933
3962,3,2597
1431,2,1163
3968,3,2636
1437,2,1178
3986,3,2382
4492,3.5,2677
4031,3.5,2307
2664,2.5,1828
1569,2,1235
4146,3.5,2363
2721,2.5,1576
3153,3,1758
4979,3.5,3175
4499,3.5,2674
2280,2.5,1471
2143,2.5,1316
3066,3,1829
4474,3.5,2667
4988,3.5,3170
4359,3.5,2572
2513,2.5,1637
4830,3.5,2991
4213,3.5,2361
2813,2.5,1978
4594,3.5,2802
3462,3,1842
4138,3.5,2418
4129,3.5,2351
1467,2,882
2527,2.5,1716
4832,3.5,3033
4643,3.5,2318
1497,2,1215
4915,3.5,2870
2648,2.5,1854
1495,2,1193
2423,2.5,1480
4275,3.5,2537
4877,3.5,2915
3099,3,1861
4692,3.5,2914
2644,2.5,1713
4103,3.5,2368
3946,3,2460
3230,3,1941
1833,2,1450
4388,3.5,2597
3622,3,2272
2614,2.5,1846
4394,3.5,2549
2968,2.5,2015
2121,2.5,1281
2004,2.5,1290
2106,2.5,1367
3920,3,2580
3494,3,2128
2002,2.5,1226
1922,2,1604
2514,2.5,1640
4964,3.5,3155
1787,2,1486
1600,2,1262
4345,3.5,2549
1603,2,1284
1865,2,1562
2600,2.5,1659
3166,3,1917
2605,2.5,1839
4837,3.5,3037
4122,3.5,2322
4690,3.5,2888
2527,2.5,1737
4147,3.5,2367
2929,2.5,2127
2518,2.5,1752
4126,3.5,2348
1981,2,1617
2644,2.5,1856
2355,2.5,1603
2145,2.5,1327
2188,2.5,1369
2944,2.5,2071
4539,3.5,2729
3448,3,2118
2229,2.5,1399
4497,3.5,2742
2399,2.5,1555
4929,3.5,3040
3767,3,2472
3037,3,1813
2125,2.5,1405
3968,3,2639
4743,3.5,2933
4960,3.5,3151
2960,2.5,2147
1864,2,1553
4669,3.5,2811
3868,3,2564
2823,2.5,2007
2289,2.5,1549
3904,3,2590
2328,2.5,1533
2661,2.5,1836
2007,2.5,1266
1490,2,1161
2794,2.5,1961
3725,3,2335
1933,2,1524
3173,3,1898
2045,2.5,1282
2055,2.5,1279
1500,2,1242
3950,3,2640
4406,3.5,2538
1615,2,1256
4822,3.5,3019
1935,2,1502
3509,3,2032
4554,3.5,2716
4052,3.5,2313
3139,3,1916
4098,3.5,2220
3774,3,2469
3196,3,1954
3166,3,1858
4998,3.5,3113
2196,2.5,1449
3839,3,2453
3309,3,1918
1765,2,1439
2591,2.5,1786
3266,3,1943
4003,3.5,2200
3790,3,2485
4804,3.5,2967
3201,3,1508
1439,2,1146
4374,3.5,2581
4472,3.5,2650
1924,2,1614
4740,3.5,2866
3892,3,2534
4374,3.5,2606
3773,3,2467
2340,2.5,1583
3218,3,1840
3555,3,2274
2855,2.5,1985
4572,3.5,2556
4442,3.5,2686
1870,2,1523
3289,3,1992
2169,2.5,1397
2204,2.5,1419
2191,2.5,1375
2804,2.5,1986
1638,2,1359
4971,3.5,3132
4501,3.5,2737
4677,3.5,2815
3122,3,1857
4845,3.5,3033
1742,2,1437
2812,2.5,2013
3209,3,1969
3167,3,1908
2439,2.5,1661
1618,2,1304
1627,2,1206
1544,2,1259
1709,2,1335
2174,2.5,1452
2808,2.5,2007
2493,2.5,1731
3595,3,2205
1665,2,1269
3629,3,2262
4123,3.5,2393
4392,3.5,2639
1966,2,1655
1819,2,1449
2045,2.5,1301
3666,3,2390
3589,3,2304
3707,3,2390
2447,2.5,1633
4886,3.5,3033
2608,2.5,1550
3629,3,2319
4905,3.5,3075
2239,2.5,1371
2213,2.5,1484
4334,3.5,2582
2123,2.5,1285
2906,2.5,1866
3329,3,2065
2261,2.5,1481
3851,3,2533
3460,3,2202
3731,3,2386
3936,3,2576
2598,2.5,1826
1914,2,1489
1487,2,1185
2219,2.5,1475
3838,3,2540
3603,3,2308
4433,3.5,2666
4794,3.5,2979
3247,3,1944
4555,3.5,2760
3081,3,1817
2173,2.5,1439
3022,3,1811
3364,3,2032
4251,3.5,2322
3322,3,2020
2090,2.5,1348
2695,2.5,1883
4979,3.5,3156
3958,3,2640
2573,2.5,1788
1640,2,1361
4894,3.5,3068
3443,3,1995
3951,3,2581
4714,3.5,2833
3242,3,1986
2308,2.5,1565
2230,2.5,1301
2563,2.5,1638
2779,2.5,1998
4325,3.5,2557
